Ставка: 20| Число: 3| Сумма: 6| Кость1: 5| Кость2: 1| Весы: 1 Атомов: 120
Ставка: 20| Число: 3| Сумма: 7| Кость1: 4| Кость2: 3| Весы: -1 Атомов: 100
Ставка: 20| Число: 3| Сумма: 2| Кость1: 1| Кость2: 1| Весы: 0 Атомов: 120
Ставка: 20| Число: 3| Сумма: 2| Кость1: 1| Кость2: 1| Весы: 1 Атомов: 140
Ставка: 20| Число: 3| Сумма: 7| Кость1: 2| Кость2: 5| Весы: -1 Атомов: 120
Ставка: 20| Число: 3| Сумма: 5| Кость1: 3| Кость2: 2| Весы: 0 Атомов: 140
Ставка: 20| Число: 3| Сумма: 9| Кость1: 4| Кость2: 5| Весы: -2 Атомов: 120
Ставка: 20| Число: 3| Сумма: 2| Кость1: 1| Кость2: 1| Весы: -1 Атомов: 140
Ставка: 20| Число: 3| Сумма: 3| Кость1: 1| Кость2: 2| Весы: 1 Атомов: 220
Ставка: 20| Число: 3| Сумма: 4| Кость1: 1| Кость2: 3| Весы: 2 Атомов: 240
Ставка: 20| Число: 3| Сумма: 6| Кость1: 4| Кость2: 2| Весы: 3 Атомов: 260
Ставка: 20| Число: 3| Сумма: 5| Кость1: 3| Кость2: 2| Весы: 4 Атомов: 280
Ставка: 20| Число: 3| Сумма: 6| Кость1: 5| Кость2: 1| Весы: 5 Атомов: 300
